fecha,dia,enviados_totales,cobrados_totales,vendidos_totales,devueltos_totales,suscripciones_totales,tiendas_conveniencia,tiendas_barrio,sectoristas,titulo,,,,,,,,,,,,
2/26/22,Saturday,97364,95434,88844,6499,861,651,1463,94389,Tres tortillas por un quetzal. EL COSTO DEL MAÃZ SE DISPARA Y EL CONSUMIDOR PAGA LAS CONSECUENCIAS,,,,,,,,,,,,
2/27/22,Sunday,99693,97824,94163,3661,861,652,1320,96860,,,,,,,,,,,,,
2/28/22,Monday,105435,103041,100218,2823,861,692,1573,102309,AL BORDE DE UNA GUERRA NUCLEAR. CONOZCA LA DESTRUCCIÃ“N QUE PUEDE CAUSAR ESTE POTENTE ARMAMENTO,,,,,,,,,,,,
3/1/22,Tuesday,101651,99239,81883,15930,860,646,1580,98565,2 CHAPINES BAJO FUEGO RUSO. CUENTAN A NUESTRO DIARIO CÃ“MO SOBREVIVIERON A LOS ATAQUES EN UCRANIA,,,,,,,,,,,,
3/2/22,Wednesday,97526,95122,83170,11026,860,648,1584,94434,ASESINAN ENTRE 6 Y 9 PERSONAS TODOS LOS DÃAS.,,,,,,,,,,,,
3/3/22,Thursday,104386,101931,94073,7833,859,698,1589,101240,"VENGANZA ENTRE LOS HEREDEROS LORENZANA. PELEA DE PODER DE PRIMOS DEL CLAN, CAUSA LA MUERTE DEL â€œBROYâ€, EN HUITÃ‰",,,,,,,,,,,,
3/4/22,Friday,97999,93534,87785,5699,858,658,1591,94892,"EL ÃšLTIMO VIAJE DEL ""BROY"" LORENZANA. TENSA CALMA SE VIVE EN HUITÃ‰, ZACAPA, DURANTE LAS HONRAS FÃšNEBRES DE BROINER",,,,,,,,,,,,
3/5/22,Saturday,99654,97789,91134,6587,855,660,1480,96659,"MUEREN POR BALAS PERDIDAS. FALLECE MÃ‰DICO EN ESCUINTLA, Y NIÃ‘O RESULTA HERIDO, EN CARCHÃ, POR DISPAROS AL AIRE",,,,,,,,,,,,
3/6/22,Sunday,99078,97234,91677,5512,854,661,1327,96236,"CAPTURADA POR MUERTE DE SU HIJO. DESPUÃ‰S DE LA INVESTIGACIÃ“N, LA POLICÃA DESCUBRE QUE INGRIS PICÃ“N SÃ GOLPEÃ“ A NIÃ‘O Y QUE Ã‰L NO",,,,,,,,,,,,
3/7/22,Monday,105567,103169,96593,6558,865,701,1589,102412,"CARRERAS DE LA MUERTE. COMPETICIONES CLANDESTINAS Y CONSTANTES ACCIDENTES POR IMPRUDENCIA, CONVIERTEN LAS CALLES EN ZONAS DE ALT",,,,,,,,,,,,
3/8/22,Tuesday,99981,97597,90801,6796,855,664,1585,96877,ACCIDENTE DE PELICULA. TRÃILER EXPLOTA TRAS CHOQUE CON VEHÃCULO,,,,,,,,,,,,
3/9/22,Wednesday,97324,94912,86351,8117,855,666,1589,94214,"GUERRA EN EL CIELO. POLONIA DARÃ AVIONES DE CAZA A UCRANIA, PARA QUE SE ENFRENTE A LOS RUSOS",,,,,,,,,,,,
3/10/22,Thursday,101142,98753,91408,7345,857,707,1591,97987,JÃ“VENES EN LAS GARRAS DE LAS MARAS.,,,,,,,,,,,,
3/11/22,Friday,97579,93130,86057,6731,859,667,1598,94455,"ACUSADO DE MATAR A MAGISTRADO. DESPUÃ‰S DE 4 AÃ‘OS, LA POLICÃA DETIENE AL â€œHUEVOâ€, POR EL ASESINATO DEL ABOGADO JOSÃ‰ ARTURO SIERRA",,,,,,,,,,,,
3/12/22,Saturday,99726,97839,90302,7219,859,672,1484,96711,Q150 o publico tu foto. DETIENEN A CHANTAJISTA QUE ATEMORIZABA A MUJER CON REVELAR SUS IMÃGENES EN LAS REDES SOCIALES,,,,,,,,,,,,
3/13/22,Sunday,99669,97831,90131,7498,859,673,1331,96806,PETRÃ“LEO DE DÃ“NDE VIENE Y PORQUE SUBE O BAJA DE PRECIO,,,,,,,,,,,,
3/14/22,Monday,105320,102934,94484,8360,859,713,1591,102157,INFIERNO EN LA CARRETERA. CAMIÃ“N CISTERNA EXPLOTA SOBRE PUENTE EN LA RUTA PRINCIPAL A SALAMÃ,,,,,,,,,,,,
3/15/22,Tuesday,103008,100613,92902,7580,859,667,1595,99887,TERROR EN EL COLEGIO. ACRIBILLAN A ESTUDIANTES AL SALIR DE CLASES,,,,,,,,,,,,
3/16/22,Wednesday,96105,93705,80889,11987,857,669,1594,92985,PUEBLOS EN GUERRA. BATALLA ENTRE IXCHIGUÃN Y TAJUMULCO SUMA 3 FALLECIDOS Y VARIOS HERIDOS,,,,,,,,,,,,
3/17/22,Thursday,100514,98106,88033,9950,858,713,1601,97342,NO ACEPTAMOS SU ASESINATO. DESPIDEN A ESTUDIANTE MASACRADA.,,,,,,,,,,,,
3/18/22,Friday,97008,92475,85286,6825,858,673,1608,93869,"SOBREVIVE DE MILAGRO. SALIÃ“ POR ZAPATOS, Y CUANDO REGRESABA SU CARRO QUEDÃ“ PRENSADO ENTRE DOS TRÃILERES",,,,,,,,,,,,
3/19/22,Saturday,100818,98922,91317,7573,857,675,1486,97800,"BUSAZO DEJA TRES MUERTOS. CAMIONETA QUE SE DIRIGÃA A LA CAPITAL, A ALTA VELOCIDAD, CAE EN BARRANCO",,,,,,,,,,,,
3/20/22,Sunday,98539,96690,88744,7567,857,676,1335,95671,,,,,,,,,,,,,
3/21/22,Monday,105728,103331,95411,7864,857,716,1598,102557,,,,,,,,,,,,,
3/22/22,Tuesday,98961,96553,87636,8635,857,670,1596,95838,LA DEJAN EN LIBERTAD. JUEZ DETERMINA QUE MUJER DECAPITÃ“ A SU ESPOSO EN DEFENSA PROPIA Y DE SUS HIJOS,,,,,,,,,,,,
3/23/22,Wednesday,97501,95089,80698,13992,858,675,1599,94369,ABUSO CONTRA MENORES. DETIENEN A PADRES POR MALTRATAR A SUS HIJOS,,,,,,,,,,,,
3/24/22,Thursday,99438,97013,87964,8672,858,716,1600,96264,,,,,,,,,,,,,
3/25/22,Friday,97301,92877,84902,7840,858,676,1596,94171,,,,,,,,,,,,,
3/26/22,Saturday,99952,98025,89576,8407,859,683,1475,96935,,,,,,,,,,,,,
3/27/22,Sunday,99262,97384,90792,6517,859,684,1329,96390,"ASÃ OPERAN LOS ""COYOTES"". COMO SARDINAS, LOS MIGRANTES ARRIESGAN LA VIDA EN SU VIAJE A ESTADOS UNIDOS",,,,,,,,,,,,
3/28/22,Monday,105213,102782,94514,8252,859,725,1588,102041,,,,,,,,,,,,,
3/29/22,Tuesday,97357,94918,83641,10948,860,678,1593,94226,,,,,,,,,,,,,
3/30/22,Wednesday,97240,94694,89303,5391,861,682,1588,94109,"LA MATAN AL AZAR. MARERO CONFESÃ“ QUE DEBÃA CUMPLIR CRIMEN, Y SU VÃCTIMA FUE UNA EMPLEADA BANCARIA",,,,,,,,,,,,
3/31/22,Thursday,98238,95689,94124,1565,861,724,1590,95063,,,,,,,,,,,,,
4/1/22,Friday,97341,92862,73179,18511,862,685,1589,94205,COMBATE A MAREROS EN LA FRONTERA,,,,,,,,,,,,
4/2/22,Saturday,97118,95199,89089,6029,862,687,1471,94098,LOBOS AL AIRE. DRONES DE LA POLICÃA HAN CONTRIBUIDO A LA CAPTURA DE CRIMINALES.,,,,,,,,,,,,
4/3/22,Sunday,98441,96586,89813,6655,862,688,1321,95570,"PIDEN PERDÃ“N DE RODILLAS. POBLADORES DE SANTA CRUZ DEL QUICHÃ‰, AZOTAN A INVOLUCRADOS EN DESAPARICIÃ“N DE JÃ“VEN",,,,,,,,,,,,
4/4/22,Monday,103268,100852,93037,7788,862,729,1585,100092,CAOS EN LA AUTOPISTA. RECORRIDOS EN CARRETERAS SON DE HORAS EN LOS DÃAS PREVIOS A SEMANA SANTA.,,,,,,,,,,,,
4/5/22,Tuesday,97577,95135,87532,7549,856,682,1588,94451,"AL SERVICIO DEL CRIMEN. TAXISTAS SON DENUNCIADOS POR ASALTOS Y OTROS POR TRANSPORTAR ARMAS, DROGA Y HASTA CADÃVERES",,,,,,,,,,,,
4/6/22,Wednesday,95835,93276,82173,10396,855,684,1587,92709,"CAPTURADO, SE ESCONDÃA EN EL PAÃS. LIDER DE LA MARA 18 ESCAPÃ“ DE EL SALVADOR PARA REFUGIARSE EN LA ZONA 5",,,,,,,,,,,,
4/7/22,Thursday,97714,95311,88803,6479,855,729,1587,94543,"""TE PIDO QUE CUIDES A MIS HIJOS"" MUERE SEGUNDO BOMBERO FORESTAL QUE QUEDÃ“ ATRAPADO EN INCENDIO",,,,,,,,,,,,
4/8/22,Friday,96818,92394,86862,5494,855,688,1579,93696,DUERME CON LOS MUERTOS. CARTURAN POR SEGUNDA VEZ A ENRIQUE PAREDES POR PROFANAR TUMBAS EN EL CEMENTERIO DE CHICACAO SUCHITEPÃ‰QUE,,,,,,,,,,,,
4/9/22,Saturday,96976,95078,88369,6657,855,690,1459,93972,REPARTIDOR DE GAS ES SEÃ‘ALADO POR NIÃ‘O DE HABERLO VIOLADO. CAPTURAN A RIKI MARTIN,,,,,,,,,,,,
4/10/22,Sunday,98077,96218,92018,4200,855,691,1309,95222,,,,,,,,,,,,,
4/11/22,Monday,102530,100117,89998,9544,855,732,1562,99381,ATRAPADOS EN LAS CARRETERAS.,,,,,,,,,,,,
4/12/22,Tuesday,93924,91513,90276,1227,858,680,1554,90832,UNIDOS CONTRA PANDILLAS. MINISTROS DE GUATEMALA Y EL SALVADOR SE REUNEN PARA COORDINAR LA GUERRA CONTRA LOS MAREROS,,,,,,,,,,,,
4/13/22,Wednesday,92117,87576,79927,7649,858,682,1510,89067,"13 AÃ‘OS CLAMÃ“ POR SU MAMÃ. MARÃA SE PERDIÃ“ EN LA CAPITAL CUANDO TENÃA 9 AÃ‘OS, AYER AMBAS SE REENCONTRARON EN BAJA VERAPAZ",,,,,,,,,,,,
4/14/22,Thursday,83993,81544,68447,12892,858,729,1323,81083,MUERE EN LA COLA. EN FILA DE VEHÃCULOS DE 13 KILOMETROS INTENSO CALOR CAUSA LA MUERTE DE ENFERMO RENAL,,,,,,,,,,,,
4/15/22,Friday,,,,,,,,,,,,,,,,,,,,,
4/16/22,Saturday,,,,,,,,,,,,,,,,,,,,,
4/17/22,Sunday,90147,88013,75750,11344,858,691,1183,87415,SE SALVA DE MORIR EN LA CRUZ. HOMBRE SE SALVA DE TOCAR CABLES DEL TENDIDO ELÃ‰CTRICO DURANTE VIACRUCIS,,,,,,,,,,,,
4/18/22,Monday,101917,99273,91763,7266,858,732,1546,98781,KILOMÃ‰TRICAS COLAS. VERANEANTES SUFREN POR CONGESTIONAMIENTOS AL VOLVER DE SITIOS TURÃSTICOS EN SEMANA SANTA.,,,,,,,,,,,,
4/19/22,Tuesday,95620,93186,84514,8412,858,685,1571,92506,GOLPIZA POR ROBAR PAR DE ZAPATOS. LADRÃ“N PIDE PERDÃ“N LUEGO DE SER CAPTURADO.,,,,,,,,,,,,
4/20/22,Wednesday,95999,93547,80541,12331,856,687,1571,92885,CACERÃA DE MAREROS. Autoridades han detenido a 16 delincuentes que huyeron de El Salvador.,,,,,,,,,,,,
4/21/22,Thursday,98795,95848,85169,9901,856,735,1573,95631,LLEGA EN DEFENSA Y TAMBIÃ‰N LA CAPTURAN. Mujer fue detenida cuando intentaba salvar a su hijo de la aprehensiÃ³n de la PolicÃ­a.,,,,,,,,,,,,
4/22/22,Friday,97084,93371,85484,7755,857,694,1577,93956,"MUERE POR VISITAR A SU NOVIA. Joven fue advertido antes de Semana Santa de que no llegara a El LimÃ³n, Zona 18",,,,,,,,,,,,
4/23/22,Saturday,99639,97652,87391,9700,857,696,1463,96623,QUERÃAN VENDER NIÃ‘O EN Q.500. Capturadas compradora y vendedora de menor,,,,,,,,,,,,
4/24/22,Sunday,98957,97060,89747,7101,857,697,1305,96098,,,,,,,,,,,,,
4/25/22,Monday,102228,99752,92927,6600,857,738,1574,99059,TORTURABAN A NIÃ‘O. Madre y su pareja van a la cÃ¡rcel mientras menor se recupera en Hospital.,,,,,,,,,,,,
4/26/22,Tuesday,95580,92820,84942,7367,857,691,1582,92450,ASESINADA MIENTRAS PREPARABA CENA. Encapuchados matan a madre de familia en su cocina.,,,,,,,,,,,,
4/27/22,Wednesday,95714,93228,84767,7975,859,693,1583,92579,LO DESNUDAN POR EXTORSIONAR. Pobladores entregan a la policÃ­a a jÃ³ven que exigiÃ³ dinero para no publicar fotos Ã­ntimas de mujer.,,,,,,,,,,,,
